"","voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party","voted_for_binary"
"203","Biden","Yes","No","Yes","Yes","No","Yes","No","No","Both","Independent",1
"204","Biden","Yes","Yes","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"205","Biden","Yes","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"206","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"207","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"208","Biden","No","Yes","Yes","Yes","No","Yes","Yes","Yes","National Newscast","Independent",1
"209","Trump","No","Yes","No","Yes","Yes","No","No","No","Both","Other",0
"210","Trump","Yes","No","No","No","Yes","No","No","No","Both","Independent",0
"211","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"212","Trump","Yes","No","No","No","Yes","No","No","No","Both","Independent",0
"213","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"214","Biden","Yes","No","No","No","No","No","No","No","National Newscast","Independent",1
"215","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"216","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Independent",1
"217","Biden","Yes","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"218","Biden","No","No","No","No","No","Yes","No","No","Both","Democrat",1
"219","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"220","Biden","No","Yes","No","Yes","Yes","Yes","No","No","Both","Democrat",1
"221","Trump","Yes","No","No","No","Yes","No","No","No","Both","Other",0
"222","Biden","No","Yes","Yes","No","No","Yes","No","No","Both","Democrat",1
"223","Biden","No","No","No","No","No","No","Yes","No","National Newscast","Democrat",1
"224","Biden","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Both","Democrat",1
"225","Biden","Yes","No","No","Yes","No","No","No","No","Both","Independent",1
"226","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"227","Biden","Yes","No","No","No","No","Yes","No","No","Both","Democrat",1
"228","Biden","Yes","No","No","Yes","Yes","Yes","No","No","Both","Independent",1
"229","Biden","Yes","No","No","No","No","No","Yes","No","National Newscast","Independent",1
"230","Biden","No","Yes","No","Yes","No","No","No","No","Both","Independent",1
"231","Biden","No","No","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"232","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"233","Biden","Yes","No","No","No","Yes","Yes","No","No","Both","Democrat",1
"234","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"235","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","National Newscast","Independent",1
"236","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"237","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"238","Biden","Yes","No","No","Yes","No","No","Yes","No","Both","Independent",1
"239","Trump","No","Yes","Yes","No","Yes","No","No","No","Both","Republican",0
"240","Biden","Yes","No","Yes","No","No","No","No","No","National Newscast","Independent",1
"241","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"242","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"243","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"244","Biden","No","No","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"245","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"246","Biden","Yes","No","Yes","No","No","No","No","No","National Newscast","Independent",1
"247","Biden","No","No","No","Yes","No","Yes","Yes","No","National Newscast","Democrat",1
"248","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"249","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Democrat",1
"250","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"251","Biden","Yes","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"252","Biden","Yes","Yes","Yes","Yes","No","No","No","No","National Newscast","Democrat",1
"253","Biden","No","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"254","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"255","Trump","Yes","No","No","No","Yes","No","No","No","Both","Independent",0
"256","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"257","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"258","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"259","Biden","No","Yes","Yes","Yes","No","No","Yes","No","Both","Democrat",1
"260","Biden","No","No","No","No","No","No","No","Yes","National Newscast","Democrat",1
"261","Trump","No","No","No","No","Yes","Yes","No","No","Both","Independent",0
"262","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"263","Biden","Yes","No","Yes","No","No","No","Yes","No","National Newscast","Independent",1
"264","Biden","Yes","No","No","Yes","Yes","No","Yes","No","Both","Democrat",1
"265","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"266","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Other",0
"267","Biden","Yes","No","No","Yes","No","No","Yes","No","Both","Independent",1
"268","Trump","Yes","Yes","Yes","No","Yes","No","No","Yes","Both","Republican",0
"269","Biden","No","No","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"270","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"271","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"272","Biden","No","No","Yes","No","No","No","No","No","Both","Independent",1
"273","Biden","Yes","Yes","No","No","Yes","No","No","No","National Newscast","Democrat",1
"274","Biden","No","No","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"275","Biden","No","No","No","Yes","Yes","No","No","Yes","Both","Independent",1
"276","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"277","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"278","Biden","Yes","Yes","Yes","Yes","No","No","No","No","National Newscast","Democrat",1
"279","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"280","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"281","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"282","Biden","No","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"283","Biden","No","No","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"284","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Independent",1
"285","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"286","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Independent",1
"287","Biden","Yes","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"288","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"289","Trump","No","No","No","No","Yes","No","No","Yes","Both","Democrat",0
"290","Biden","Yes","No","No","No","Yes","Yes","No","No","Both","Independent",1
"291","Biden","Yes","Yes","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"292","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Independent",1
"293","Biden","No","No","No","No","No","No","No","No","National Newscast","Democrat",1
"294","Biden","No","No","Yes","No","Yes","No","No","No","Both","Republican",1
"295","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"296","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"297","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"298","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"299","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"300","Trump","No","No","No","Yes","Yes","No","No","No","National Newscast","Other",0
"301","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"302","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"303","Biden","Yes","No","Yes","No","Yes","Yes","No","No","Both","Democrat",1
